"paper","experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","vbar","replicated","tbardot","outliersite","stdresid","Qi"
"ppir","Bad Tipper",16,96.7823537721312,24.995790139729,5.295763827462e-14,1.254,31.331001920199,5.99766902809051e-11,1.75466666666667,33.3338210603709,2.84795742544475e-10,1.91055555555556,41.0123401698356,3.24720177413695e-08,2.50111111111111,0.030016829969162,1,0.718168928287589,"jenjordan",-8.75534568392502,96.7823537721312
"ppir","Belief-Act Inconsistency",13,23.8209092323953,21.0260698174834,0.0215121616326162,1.445,26.4131330245859,0.0908392071812099,1.98283333333333,28.1072609285405,0.125452038370676,2.15011111111111,34.5748154079591,0.306837431976071,2.77822222222222,0.0298448562008116,1,0.306627942134367,"danmolden",7.74839700227265,23.8209092323953
"ppir","Bigot-Misanthrope",12,39.5839307193785,19.6751375726828,4.21352782512541e-05,1.527,24.7417433799812,0.000768678379302834,2.08272727272727,26.331641259195,0.00148335311259129,2.25363636363636,32.3906223965211,0.010376591226873,2.89927272727273,0.0363826380515426,1,1.29178661225548,"mturk",-3.91092299258921,39.5839307193781
"ppir","Burn in Hell",15,19.1183783813341,23.6847913048409,0.160475093495089,1.31,29.7059650696457,0.373470812020193,1.82085714285714,31.6064933927197,0.446707086594315,1.98014285714286,38.883585388486,0.699848544825833,2.58228571428571,0.0311662664423527,1,0.198522782891073,"mturk",4.26785906341064,19.1183783813341
"ppir","Cold-Hearted Prosociality",12,32.19696930581,19.6751375726828,0.000709143629243569,1.527,24.7417433799812,0.00689683908848393,2.08272727272727,26.331641259195,0.0115580497681826,2.25363636363636,32.3906223965211,0.0520007009853943,2.89927272727273,0.047500642412716,1,1.96549001995308,"jessegraham",4.6422831984362,32.1969693058097
"ppir","Higher Standards - Charity",11,50.5496037877648,18.3070380532754,2.11444166065e-07,1.624,23.0506139811097,9.9762794345537e-06,2.199,24.5354987102103,2.36098873620527e-05,2.37566666666667,30.1829926471903,0.000315728462622955,2.99933333333333,0.0351739597228928,0,0.944568545423177,"deannakennedy",-6.47537319072852,50.5496037877651
"ppir","Higher Standards - Company",11,65.0414910713974,18.3070380532754,3.97988753064737e-10,1.624,23.0506139811097,5.51332430820395e-08,2.199,24.5354987102103,1.63572553280034e-07,2.37566666666667,30.1829926471903,4.43659478910341e-06,2.99933333333333,0.0340676650437125,1,1.04645129718056,"toribrescoll",-6.37206733701056,65.0414910713972
"ppir","Intuitive Economics",15,30.668098129919,23.6847913048409,0.00616766837735028,1.31,29.7059650696457,0.0401206284175679,1.82085714285714,31.6064933927197,0.0610728138462034,1.98014285714286,38.883585388486,0.1977083977308,2.58228571428571,0.0314092567228142,1,0.487537874891189,"jessegraham",4.67161220804768,30.668098129919
"ppir","Moral Cliff",15,5.5728077913775,23.6847913048409,0.976138447867595,1.31,29.7059650696457,0.993309860735716,1.82085714285714,31.6064933927197,0.995653705673377,1.98014285714286,38.883585388486,0.999249795284414,2.58228571428571,0.0288788085516396,1,0.730397875302442,"adamhahn",-1.8863965926756,5.57280779137749
"ppir","Moral Inversion",14,45.3640597458396,22.3620324948273,1.81937403942456e-05,1.373,28.0672165134533,0.000459284646344815,1.89723076923077,29.8648663700417,0.000954241902604847,2.05997435897436,36.7383746155245,0.00825274788377406,2.67394871794872,0.028585267384941,1,0.546261799222546,"fierycushman",-4.11215550358561,45.3640597458396
"ppir","Presumption of Guilt",17,18.8826585090531,26.2962276048646,0.274795098738424,1.204,32.9436826772457,0.534441267789991,1.694625,35.0482535208829,0.610898706289605,1.84816666666667,43.1262269938662,0.833177562704689,2.42933333333333,0.0281630030715542,0,0.158566646817373,"wendybedwell",2.6272340647321,18.8826585090532
