"paper","experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","vbar","replicated","tbardot"
"ppir","Bad Tipper",17,173.438431817156,26.2962276048646,0,1.204,32.5676238373899,0,1.667,34.5568700425596,0,1.81233333333333,42.1982948877082,0,2.36266666666667,0.0292581385003877,1,0.642187453589328
"ppir","Belief-Act Inconsistency",14,83.8585653372231,22.3620324948273,2.06223926824123e-12,1.373,27.6765286821515,7.20216442040567e-10,1.861,29.3553007229033,2.68025834859742e-09,2.01333333333333,35.7811209987026,1.49503635582526e-07,2.58866666666667,0.029744036176162,1,0.360538402434462
"ppir","Bigot-Misanthrope",13,54.8792493733414,21.0260698174834,1.90239377695356e-07,1.445,26.0163416106582,8.82922247003037e-06,1.944,27.5901180039046,2.12317374541637e-05,2.09933333333333,33.6053872644467,0.000302767691219619,2.68466666666667,0.0339198710219367,1,1.19421560611325
"ppir","Burn in Hell",16,37.3329993664705,24.995790139729,0.00113118301149162,1.254,30.950574244293,0.010869249184107,1.725,32.8370044700247,0.018269195926884,1.87133333333333,40.0756304141344,0.0816625925809763,2.42966666666667,0.0294672384698598,1,0.287551097631367
"ppir","Cold-Hearted Prosociality",13,53.7477626002931,21.0260698174834,3.03117159816679e-07,1.445,26.0163416106582,1.29335964372812e-05,1.944,27.5901180039046,3.0533203898675e-05,2.09933333333333,33.6053872644467,0.000410850277192676,2.68466666666667,0.0458195020946721,1,2.02024278840192
"ppir","Higher Standards - Charity",12,92.4800617469704,19.6751375726828,5.44009282066327e-15,1.527,24.3380015418782,3.23352455922077e-12,2.039,25.80587591305,1.32449606837781e-11,2.19733333333333,31.4073727810311,1.01268282648448e-09,2.79566666666667,0.0341056964795062,0,0.882862922556214
"ppir","Higher Standards - Company",12,105.644733218794,19.6751375726828,0,1.527,24.3380015418782,1.7874590696465e-14,2.039,25.80587591305,8.60422844084496e-14,2.19733333333333,31.4073727810311,1.08927311615048e-11,2.79566666666667,0.0332991258062967,1,0.98787928908908
"ppir","Intuitive Economics",16,52.4920587522992,24.995790139729,4.68237493278512e-06,1.254,30.950574244293,0.000154438824126135,1.725,32.8370044700247,0.000344990084545693,1.87133333333333,40.0756304141344,0.0037797941744574,2.42966666666667,0.0306052315672676,1,0.528141298304954
"ppir","Moral Cliff",16,9.13129989623564,24.995790139729,0.870552647712503,1.254,30.950574244293,0.951601037089017,1.725,32.8370044700247,0.965613964292986,1.87133333333333,40.0756304141344,0.991721223845445,2.42966666666667,0.0280415688997993,1,0.712912800927106
"ppir","Moral Inversion",15,62.273882631509,23.6847913048409,4.66582361635659e-08,1.31,29.3206919187393,3.44100387839053e-06,1.789,31.1036540854543,9.19457712844629e-06,1.93833333333333,37.93716128398,0.000179189325849594,2.50466666666667,0.0341123110715823,1,0.531016830206011
"ppir","Presumption of Guilt",18,25.7850173399419,27.5871116382757,0.0784673636396814,1.159,34.1730595169592,0.24115536203211,1.616,36.2645289997857,0.307752525598793,1.75833333333333,44.3066437008089,0.577705242370928,2.30266666666667,0.0275672087717515,0,0.17866005947593
