"paper","experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","vbar","replicated"
"manylabs","Allowedforbidden",35,26.9067968041628,48.6023673672949,0.801245957363658,0.759,60.6681400495196,0.957486576558753,1.16235294117647,64.5439609982169,0.976115639008758,1.29113725490196,79.5934129030242,0.998122388842914,1.78327450980392,0.395053088672114,1
"manylabs","Anchoring1",36,61.5693818324035,49.8018495682026,0.00364280853326326,0.746,62.1609334588843,0.0549427673209484,1.14714285714286,66.1328683645945,0.09694106105568,1.27485714285714,81.5613668951049,0.396197571868817,1.76471428571429,0.055053183335103,1
"manylabs","Anchoring2",36,156.730852888385,49.8018495682026,0,0.746,62.1609334588843,9.98423566045403e-13,1.14714285714286,66.1328683645945,1.09601216990995e-11,1.27485714285714,81.5613668951049,1.43504075289513e-08,1.76471428571429,0.0690130264323548,1
"manylabs","Anchoring3",36,317.139551900341,49.8018495682026,0,0.746,62.1609334588843,0,1.14714285714286,66.1328683645945,0,1.27485714285714,81.5613668951049,0,1.76471428571429,0.0796084156421328,1
"manylabs","Anchoring4",36,90.6019416833857,49.8018495682026,8.09255836342615e-07,0.746,62.1609334588843,0.000156831326875828,1.14714285714286,66.1328683645945,0.000508175919959442,1.27485714285714,81.5613668951049,0.0137934497595821,1.76471428571429,0.0760199193899181,1
"manylabs","Flagpriming",36,30.710111030969,49.8018495682026,0.675336559943584,0.746,62.1609334588843,0.914058110276377,1.14714285714286,66.1328683645945,0.94864940467864,1.27485714285714,81.5613668951049,0.995018618542174,1.76471428571429,0.0373141553166017,0
"manylabs","Gainloss",36,37.0116064012991,49.8018495682026,0.376232355028186,0.746,62.1609334588843,0.738839062182069,1.14714285714286,66.1328683645945,0.819789164346581,1.27485714285714,81.5613668951049,0.970265704497226,1.76471428571429,0.163758875265608,1
"manylabs","Gamblersfallacy",36,51.360735708339,49.8018495682026,0.0366516736470741,0.746,62.1609334588843,0.225422547624848,1.14714285714286,66.1328683645945,0.321593679938485,1.27485714285714,81.5613668951049,0.708748994076042,1.76471428571429,0.0416795587225213,1
"manylabs","IAT",35,48.43747629584,48.6023673672949,0.0516513261492808,0.759,60.6681400495196,0.269680558367027,1.16235294117647,64.5439609982169,0.371302249860731,1.29113725490196,79.5934129030242,0.747599540224577,1.78327450980392,0.00992017972972916,1
"manylabs","Imaginedcontact",36,46.4390938336403,49.8018495682026,0.093530964543862,0.746,62.1609334588843,0.378966019808478,1.14714285714286,66.1328683645945,0.491088603986168,1.27485714285714,81.5613668951049,0.835871154696568,1.76471428571429,0.039552756596065,0
"manylabs","Mathartgender",36,48.1952851518516,49.8018495682026,0.0679583451300301,0.746,62.1609334588843,0.318961472503387,1.14714285714286,66.1328683645945,0.427423037223881,1.27485714285714,81.5613668951049,0.794416798067562,1.76471428571429,0.0668211990530791,1
"manylabs","Moneypriming",36,28.8015085440125,49.8018495682026,0.760754777670273,0.746,62.1609334588843,0.94582958557414,1.14714285714286,66.1328683645945,0.969141002961916,1.27485714285714,81.5613668951049,0.997483465883584,1.76471428571429,0.038985436555038,0
"manylabs","Quote Attribution",36,68.4864967330168,49.8018495682026,0.000606685051848022,0.746,61.8272453724219,0.0158381207994274,1.136,65.6943219057711,0.0321459290363502,1.26033333333333,80.7195008867783,0.205776093617115,1.73866666666667,0.0365861372896443,1
"manylabs","Reciprocity",36,38.8932174679637,49.8018495682026,0.298682614345908,0.746,62.1609334588843,0.669645622120954,1.14714285714286,66.1328683645945,0.763048831395343,1.27485714285714,81.5613668951049,0.954759340219222,1.76471428571429,0.058901331682814,1
"manylabs","Scales",36,111.207556428586,49.8018495682026,7.27243931741839e-10,0.746,62.1609334588843,8.03505688651285e-07,1.14714285714286,66.1328683645945,3.90515592685325e-06,1.27485714285714,81.5613668951049,0.000384173338639493,1.76471428571429,0.00726852445821612,1
"manylabs","Sunkcosts",36,36.0652822371833,49.8018495682026,0.418533783404,0.746,62.1609334588843,0.771357513744476,1.14714285714286,66.1328683645945,0.84538865496654,1.27485714285714,81.5613668951049,0.976347787823375,1.76471428571429,0.0359035321769564,1
