"paper","experiment","tau2","ci.lb","ci.ub","I2","H2"
"ppir","Bad Tipper",0.163351253139004,0.0811119531270358,0.407462511269445,89.2471366926641,9.29984852795229
"ppir","Belief-Act Inconsistency",0.145698402543868,0.06368101807279,0.421724440492881,89.3122018405119,9.35646411990156
"ppir","Bigot-Misanthrope",0.0724143053304201,0.0249351013465565,0.246824772071336,78.8381795739472,4.7254913796021
"ppir","Burn in Hell",0.0177641843067139,0.00347448677555978,0.0695238257919621,48.2469662257359,1.93225387396957
"ppir","Cold-Hearted Prosociality",0.0714010924487436,0.0245490198459082,0.243906717732294,73.1839887868466,3.72911538577183
"ppir","Higher Standards - Charity",0.262965185370997,0.106520894260187,0.864872858553952,93.4753418881601,15.3264735539991
"ppir","Higher Standards - Company",0.163392025804775,0.0688267988241075,0.524850174542588,89.914779537945,9.91549965379966
"ppir","Intuitive Economics",0.0458062330957002,0.0160123703554706,0.140445578541941,70.0087916752859,3.33431047249921
"ppir","Moral Cliff",0,0,0.0053240767220273,0,1
"ppir","Moral Inversion",0.153592462122927,0.0537969032588713,0.487482435528544,88.4981537454527,8.69425636431758
"ppir","Presumption of Guilt",0.0102887373686757,0,0.0527141007437757,35.5929430988128,1.55262489564489
