"paper","experiment","tau2","ci.lb","ci.ub","I2","H2"
"ppir","Bad Tipper",0.199789699352045,0.0860023730837352,0.450916105803806,91.3513956495704,11.5625592232154
"ppir","Belief-Act Inconsistency",0.101030803259803,0.0690706321287171,0.482835499892171,85.6892258219004,6.98774215534994
"ppir","Bigot-Misanthrope",0.0702074278925401,0.0219243388722229,0.25036653884647,78.374017806989,4.6240674346027
"ppir","Burn in Hell",0.0312665979883281,0.00425600552261134,0.0791980514332066,62.4888914905883,2.66587696215135
"ppir","Cold-Hearted Prosociality",0.0944615345726015,0.0266341081038436,0.274887231200953,79.2479661799201,4.81880479123153
"ppir","Higher Standards - Charity",0.14222792551177,0.117396672349129,1.02644298473954,89.1839420049436,9.24551255602606
"ppir","Higher Standards - Company",0.149808925158204,0.0631468681524708,0.528465442716339,89.601815189509,9.61706315309068
"ppir","Intuitive Economics",0.0467925384819586,0.0138940628786272,0.139244218944796,70.4542442619987,3.38458088148957
"ppir","Moral Cliff",0,0,0.00742548711164682,0,1
"ppir","Moral Inversion",0.0702658454049303,0.056257512841205,0.532908629403735,78.7661162025856,4.70945404778831
"ppir","Presumption of Guilt",0.0104728438933145,0,0.0575138136688387,36.8539352851945,1.58362996097449
