"paper","experiment","tauDL","tauPM","lb","ub","k","Q","p0","p25","mdh0","mdh25","vbar","replicated","lblambda","ublambda"
"manylabs","Allowedforbidden",0,0,0,0.103607268605088,35,26.9067968041628,0.801245957363658,0.957486576558753,0.759,1.16235294117647,0.395053088672114,1,0,7.90290679931641
"manylabs","Anchoring1",0.0259990249930097,0.0344287072575233,0.0053192531293202,0.101189921255829,36,61.5693818324035,0.00364280853326326,0.0549427673209484,0.746,1.14714285714286,0.055053183335103,1,8.55703563690186,52.428564453125
"manylabs","Anchoring2",0.146524648233658,0.140873740261209,0.0689154109306734,0.293181583124603,36,156.730852888385,0,9.98423566045403e-13,0.746,1.14714285714286,0.0690130264323548,1,0,156.730852888385
"manylabs","Anchoring3",0.370582429466549,0.509369169244357,0.303518987648389,0.93669857915137,36,317.139551900341,0,0,0.746,1.14714285714286,0.0796084156421328,1,0,317.139551900341
"manylabs","Anchoring4",0.0771878357633597,0.109157779266971,0.0429118326383546,0.248042659348651,36,90.6019416833857,8.09255836342615e-07,0.000156831326875828,0.746,1.14714285714286,0.0760199193899181,1,31.2292285919189,87.6496948242187
"manylabs","Flagpriming",0,0,0,0.0146501176193502,36,30.710111030969,0.675336559943584,0.914058110276377,0.746,1.14714285714286,0.0373141553166017,0,0,12.1505279541016
"manylabs","Gainloss",0.00635644460763176,0.00912459388492125,0,0.13834154463681,36,37.0116064012991,0.376232355028186,0.738839062182069,0.746,1.14714285714286,0.163758875265608,1,0,20.8317657470703
"manylabs","Gamblersfallacy",0.0128427076426508,0.0184095200943154,0,0.0632266581768125,36,51.360735708339,0.0366516736470741,0.225422547624848,0.746,1.14714285714286,0.0416795587225213,1,1.10135717391968,39.5937194824219
"manylabs","IAT",0.00286132004876475,0.00315689375120841,0,0.0121837920721399,35,48.43747629584,0.0516513261492808,0.269680558367027,0.759,1.16235294117647,0.00992017972972916,1,0,36.9874420166016
"manylabs","Imaginedcontact",0.00796430206844661,0.00934530786586064,0,0.0418014028241646,36,46.4390938336403,0.093530964543862,0.378966019808478,0.746,1.14714285714286,0.039552756596065,0,0,33.2749267578125
